5201010,5201,SEKOTONG
5201011,5201,LEMBAR
5201020,5201,GERUNG
5201030,5201,LABU API
5201040,5201,KEDIRI
5201041,5201,KURIPAN
5201050,5201,NARMADA
5201051,5201,LINGSAR
5201060,5201,GUNUNG SARI
5201061,5201,BATU LAYAR
5202010,5202,PRAYA BARAT
5202011,5202,PRAYA BARAT DAYA
5202020,5202,PUJUT
5202030,5202,PRAYA TIMUR
5202040,5202,JANAPRIA
5202050,5202,KOPANG
5202060,5202,PRAYA
5202061,5202,PRAYA TENGAH
5202070,5202,JONGGAT
5202080,5202,PRINGGARATA
5202090,5202,BATUKLIANG
5202091,5202,BATUKLIANG UTARA
5203010,5203,KERUAK
5203011,5203,JEROWARU
5203020,5203,SAKRA
5203021,5203,SAKRA BARAT
5203022,5203,SAKRA TIMUR
5203030,5203,TERARA
5203031,5203,MONTONG GADING
5203040,5203,SIKUR
5203050,5203,MASBAGIK
5203051,5203,PRINGGASELA
5203060,5203,SUKAMULIA
5203061,5203,SURALAGA
5203070,5203,SELONG
5203071,5203,LABUHAN HAJI
5203080,5203,PRINGGABAYA
5203081,5203,SUELA
5203090,5203,AIKMEL
5203091,5203,WANASABA
5203092,5203,SEMBALUN
5203100,5203,SAMBELIA
5204020,5204,LUNYUK
5204021,5204,ORONG TELU
5204050,5204,ALAS
5204051,5204,ALAS BARAT
5204052,5204,BUER
5204061,5204,UTAN
5204062,5204,RHEE
5204070,5204,BATULANTEH
5204080,5204,SUMBAWA
5204081,5204,LABUHAN BADAS
5204082,5204,UNTER IWES
5204090,5204,MOYOHILIR
5204091,5204,MOYO UTARA
5204100,5204,MOYOHULU
5204110,5204,ROPANG
5204111,5204,LENANGGUAR
5204112,5204,LANTUNG
5204121,5204,LAPE
5204122,5204,LOPOK
5204130,5204,PLAMPANG
5204131,5204,LABANGKA
5204132,5204,MARONGE
5204140,5204,EMPANG
5204141,5204,TARANO
5205010,5205,HU'U
5205011,5205,PAJO
5205020,5205,DOMPU
5205030,5205,WOJA
5205040,5205,KILO
5205050,5205,KEMPO
5205051,5205,MANGGALEWA
5205060,5205,PEKAT
5206010,5206,MONTA
5206011,5206,PARADO
5206020,5206,BOLO
5206021,5206,MADA PANGGA
5206030,5206,WOHA
5206040,5206,BELO
5206041,5206,PALIBELO
5206050,5206,WAWO
5206051,5206,LANGGUDU
5206052,5206,LAMBITU
5206060,5206,SAPE
5206061,5206,LAMBU
5206070,5206,WERA
5206071,5206,AMBALAWI
5206080,5206,DONGGO
5206081,5206,SOROMANDI
5206090,5206,SANGGAR
5206091,5206,TAMBORA
5207010,5207,SEKONGKANG
5207020,5207,JEREWEH
5207021,5207,MALUK
5207030,5207,TALIWANG
5207031,5207,BRANG ENE
5207040,5207,BRANG REA
5207050,5207,SETELUK
5207051,5207,POTO TANO
5208010,5208,PEMENANG
5208020,5208,TANJUNG
5208030,5208,GANGGA
5208040,5208,KAYANGAN
5208050,5208,BAYAN
5271010,5271,AMPENAN
5271011,5271,SEKARBELA
5271020,5271,MATARAM
5271021,5271,SELAPARANG
5271030,5271,CAKRANEGARA
5271031,5271,SANDUBAYA
5272010,5272,RASANAE BARAT
5272011,5272,MPUNDA
5272020,5272,RASANAE TIMUR
5272021,5272,RABA
5272030,5272,ASAKOTA